Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
evGyrocopterStarterBundle,items,Item,,,Gyrocopter Starter Kit,Bundle display name,Gyrocopter-Startpaket,Kit de Inicio de Autogiro,Kit de Démarrage Autogire,Kit Avviamento Autogiro,ジャイロコプタースターターキット,자이로콥터 스타터 키트,Zestaw Startowy Wiatrakowca,Kit Inicial de Girocóptero,Автожир — стартовый набор,Cayrokopter Başlangıç Kiti,旋翼机入门套装,旋翼機入門套裝
evGyrocopterStarterBundleDesc,items,Item,,,"Open to receive a fully assembled gyrocopter and 12000 gasoline cans.",Bundle description,,,,,,,,,"Откройте, чтобы получить собранный автожир и 12 000 канистр бензина.",,,
evPistolBundle,items,Item,,,Pistol Kit,Bundle display name,Pistolen-Paket,Kit de Pistola,Kit Pistolet,Kit Pistola,ピストルキット,권총 키트,Zestaw Pistoletu,Kit de Pistola,Пистолет — комплект,Tabanca Kiti,手枪套装,手槍套裝
evPistolBundleDesc,items,Item,,,"Open to receive a Tier 6 Pistol and 600 9mm rounds.",Bundle description,,,,,,,,,"Откройте, чтобы получить пистолет 6-го тира и 600 патронов 9 мм.",,,
evSMG5Bundle,items,Item,,,SMG-5 Kit,Bundle display name,SMG-5-Paket,Kit de SMG-5,Kit SMG-5,Kit SMG-5,SMG-5キット,SMG-5 키트,Zestaw SMG-5,Kit de SMG-5,ПП-5 — комплект,SMG-5 Kiti,SMG-5套装,SMG-5套裝
evSMG5BundleDesc,items,Item,,,"Open to receive a Tier 6 SMG-5 and 1500 9mm rounds.",Bundle description,,,,,,,,,"Откройте, чтобы получить ПП-5 6-го тира и 1500 патронов 9 мм.",,,
evDesertVultureBundle,items,Item,,,Desert Vulture Kit,Bundle display name,Wüstengeier-Paket,Kit de Buitre del Desierto,Kit Vautour du Désert,Kit Avvoltoio del Deserto,デザートバルチャーキット,데저트 벌처 키트,Zestaw Pustynnego Sępa,Kit de Abutre do Deserto,Пустынный стервятник — комплект,Çöl Akbabası Kiti,沙漠秃鹫套装,沙漠禿鷲套裝
evDesertVultureBundleDesc,items,Item,,,"Open to receive a Tier 6 Desert Vulture and 1000 .44 Magnum rounds.",Bundle description,,,,,,,,,"Откройте, чтобы получить Пустынного стервятника 6-го тира и 1000 патронов .44 Магнум.",,,
evPumpShotgunBundle,items,Item,,,Pump Shotgun Kit,Bundle display name,Pumpgun-Paket,Kit de Escopeta de Bombeo,Kit Fusil à Pompe,Kit Fucile a Pompa,ポンプショットガンキット,펌프 샷건 키트,Zestaw Strzelby Pompowej,Kit de Escopeta Pump,Помповое ружьё — комплект,Pompalı Tüfek Kiti,泵动霰弹枪套装,泵動霰彈槍套裝
evPumpShotgunBundleDesc,items,Item,,,"Open to receive a Tier 6 Pump Shotgun and 600 shotgun shells.",Bundle description,,,,,,,,,"Откройте, чтобы получить помповое ружьё 6-го тира и 600 дробовых патронов.",,,
evSniperRifleBundle,items,Item,,,Sniper Rifle Kit,Bundle display name,Scharfschützengewehr-Paket,Kit de Rifle de Francotirador,Kit Fusil de Précision,Kit Fucile di Precisione,スナイパーライフルキット,저격 소총 키트,Zestaw Karabinu Snajperskiego,Kit de Rifle Sniper,Снайперская винтовка — комплект,Keskin Nişancı Tüfeği Kiti,狙击步枪套装,狙擊步槍套裝
evSniperRifleBundleDesc,items,Item,,,"Open to receive a Tier 6 Sniper Rifle and 1000 7.62mm rounds.",Bundle description,,,,,,,,,"Откройте, чтобы получить снайперскую винтовку 6-го тира и 1000 патронов 7.62 мм.",,,
evM60Bundle,items,Item,,,M60 Machine Gun Kit,Bundle display name,M60-MG-Paket,Kit de Ametralladora M60,Kit Mitrailleuse M60,Kit Mitragliatrice M60,M60マシンガンキット,M60 기관총 키트,Zestaw Karabinu Maszynowego M60,Kit de Metralhadora M60,Пулемёт M60 — комплект,M60 Makineli Tüfek Kiti,M60机枪套装,M60機槍套裝
evM60BundleDesc,items,Item,,,"Open to receive a Tier 6 M60 Machine Gun and 3000 7.62mm rounds.",Bundle description,,,,,,,,,"Откройте, чтобы получить пулемёт M60 6-го тира и 3000 патронов 7.62 мм.",,,
